user_id,days,steps_tried,correct,wrong,correct_ratio,viewed
519,2.0,7.0,7.0,3.0,0.7,135
520,1.0,9.0,9.0,2.0,0.82,28
521,1.0,2.0,2.0,0.0,1.0,10
525,3.0,8.0,8.0,3.0,0.73,90
528,3.0,9.0,9.0,4.0,0.69,292
533,1.0,1.0,1.0,0.0,1.0,3
539,1.0,1.0,1.0,0.0,1.0,10
541,1.0,9.0,9.0,6.0,0.6,214
542,4.0,16.0,16.0,9.0,0.64,189
544,1.0,8.0,8.0,3.0,0.73,73
550,1.0,2.0,2.0,0.0,1.0,12
551,2.0,6.0,6.0,1.0,0.86,45
553,2.0,16.0,16.0,23.0,0.41,555
555,1.0,6.0,6.0,4.0,0.6,24
560,2.0,13.0,13.0,13.0,0.5,468
564,2.0,13.0,14.0,9.0,0.61,61
568,1.0,5.0,5.0,2.0,0.71,72
569,2.0,23.0,23.0,39.0,0.37,396
572,2.0,16.0,16.0,9.0,0.64,297
573,1.0,4.0,5.0,6.0,0.45,30
576,1.0,4.0,4.0,4.0,0.5,452
580,1.0,1.0,1.0,0.0,1.0,6
581,1.0,2.0,2.0,0.0,1.0,27
587,1.0,16.0,16.0,9.0,0.64,219
589,2.0,27.0,26.0,59.0,0.31,927
590,1.0,3.0,3.0,3.0,0.5,21
591,2.0,14.0,14.0,16.0,0.47,475
594,2.0,2.0,2.0,0.0,1.0,745
595,1.0,2.0,2.0,0.0,1.0,18
596,1.0,8.0,8.0,6.0,0.57,45
604,1.0,11.0,11.0,3.0,0.79,314
605,3.0,25.0,24.0,79.0,0.23,554
606,1.0,2.0,2.0,0.0,1.0,182
608,4.0,9.0,9.0,50.0,0.15,68
610,1.0,2.0,1.0,1.0,0.5,11
616,1.0,2.0,1.0,2.0,0.33,25
618,1.0,2.0,2.0,0.0,1.0,104
620,1.0,11.0,10.0,2.0,0.83,176
622,1.0,2.0,2.0,0.0,1.0,6
624,1.0,1.0,1.0,0.0,1.0,3
632,1.0,2.0,2.0,1.0,0.67,188
635,1.0,3.0,3.0,0.0,1.0,1907
638,1.0,9.0,9.0,4.0,0.69,443
644,1.0,2.0,2.0,1.0,0.67,6
645,2.0,8.0,7.0,10.0,0.41,194
648,1.0,1.0,1.0,8.0,0.11,8
651,1.0,6.0,4.0,6.0,0.4,77
653,1.0,2.0,2.0,2.0,0.5,6
655,1.0,9.0,9.0,4.0,0.69,37
657,2.0,7.0,7.0,7.0,0.5,35
660,1.0,2.0,2.0,0.0,1.0,11
665,1.0,3.0,3.0,4.0,0.43,38
667,1.0,1.0,1.0,0.0,1.0,4
669,1.0,2.0,2.0,0.0,1.0,10
673,1.0,2.0,2.0,0.0,1.0,12
675,4.0,41.0,41.0,39.0,0.51,173
676,2.0,8.0,8.0,1.0,0.89,536
677,3.0,7.0,7.0,2.0,0.78,103
678,2.0,8.0,8.0,10.0,0.44,66
681,2.0,8.0,8.0,10.0,0.44,372
682,1.0,2.0,2.0,1.0,0.67,6
686,1.0,5.0,5.0,6.0,0.45,132
687,1.0,2.0,2.0,0.0,1.0,55
689,2.0,7.0,5.0,7.0,0.42,88
691,1.0,2.0,2.0,7.0,0.22,9
692,1.0,2.0,2.0,3.0,0.4,16
694,1.0,2.0,2.0,4.0,0.33,14
695,1.0,2.0,2.0,1.0,0.67,59
697,2.0,7.0,7.0,15.0,0.32,170
699,1.0,10.0,9.0,18.0,0.33,33
701,1.0,3.0,3.0,1.0,0.75,30
702,3.0,19.0,19.0,4.0,0.83,363
703,1.0,2.0,2.0,0.0,1.0,917
708,2.0,5.0,5.0,1.0,0.83,93
709,4.0,28.0,28.0,6.0,0.82,407
710,2.0,26.0,25.0,35.0,0.42,153
713,3.0,29.0,30.0,48.0,0.38,295
716,2.0,12.0,12.0,11.0,0.52,691
717,1.0,2.0,2.0,0.0,1.0,10
721,1.0,24.0,24.0,12.0,0.67,151
722,1.0,2.0,2.0,1.0,0.67,25
724,3.0,16.0,15.0,9.0,0.62,1241
727,1.0,4.0,4.0,0.0,1.0,170
729,1.0,2.0,2.0,1.0,0.67,8
732,2.0,6.0,6.0,1.0,0.86,306
735,2.0,14.0,14.0,16.0,0.47,63
738,2.0,8.0,7.0,11.0,0.39,71
740,2.0,8.0,8.0,5.0,0.62,112
752,3.0,31.0,33.0,42.0,0.44,444
753,1.0,2.0,2.0,0.0,1.0,8
755,2.0,6.0,6.0,73.0,0.08,74
756,2.0,4.0,2.0,7.0,0.22,18
759,2.0,6.0,6.0,6.0,0.5,277
763,1.0,2.0,1.0,1.0,0.5,20
764,1.0,9.0,9.0,2.0,0.82,48
766,1.0,9.0,9.0,3.0,0.75,111
767,1.0,2.0,2.0,0.0,1.0,20
768,1.0,2.0,2.0,0.0,1.0,7
769,2.0,3.0,3.0,0.0,1.0,126
771,2.0,13.0,11.0,12.0,0.48,318
773,1.0,2.0,2.0,0.0,1.0,14
775,1.0,2.0,1.0,4.0,0.2,28
777,1.0,2.0,2.0,0.0,1.0,7
780,1.0,2.0,2.0,0.0,1.0,10
781,1.0,8.0,8.0,3.0,0.73,47
782,1.0,2.0,2.0,0.0,1.0,145
783,1.0,4.0,4.0,3.0,0.57,730
785,3.0,17.0,17.0,2.0,0.89,484
790,3.0,15.0,15.0,3.0,0.83,373
791,3.0,46.0,47.0,20.0,0.7,512
793,1.0,9.0,9.0,14.0,0.39,62
797,2.0,8.0,6.0,15.0,0.29,91
799,1.0,1.0,1.0,0.0,1.0,166
803,1.0,2.0,3.0,2.0,0.6,22
808,1.0,9.0,9.0,36.0,0.2,95
809,2.0,37.0,37.0,17.0,0.69,212
811,1.0,2.0,2.0,0.0,1.0,458
815,1.0,9.0,9.0,1.0,0.9,40
816,3.0,9.0,8.0,35.0,0.19,626
819,1.0,7.0,7.0,0.0,1.0,122
822,4.0,24.0,24.0,38.0,0.39,452
823,1.0,2.0,2.0,0.0,1.0,18
824,4.0,47.0,48.0,88.0,0.35,273
825,1.0,3.0,2.0,1.0,0.67,161
826,2.0,8.0,8.0,4.0,0.67,162
827,2.0,13.0,13.0,6.0,0.68,314
830,2.0,5.0,5.0,0.0,1.0,199
831,4.0,24.0,26.0,30.0,0.46,837
833,1.0,4.0,4.0,0.0,1.0,42
834,2.0,9.0,9.0,1.0,0.9,70
836,1.0,5.0,5.0,1.0,0.83,41
838,2.0,8.0,8.0,19.0,0.3,604
839,1.0,3.0,3.0,0.0,1.0,84
841,1.0,9.0,9.0,7.0,0.56,213
847,1.0,2.0,2.0,0.0,1.0,13
851,1.0,2.0,2.0,0.0,1.0,8
852,1.0,2.0,2.0,0.0,1.0,10
853,1.0,2.0,2.0,0.0,1.0,12
854,1.0,8.0,8.0,8.0,0.5,335
856,1.0,2.0,2.0,2.0,0.5,21
863,3.0,8.0,9.0,10.0,0.47,317
868,1.0,1.0,1.0,0.0,1.0,6
871,1.0,1.0,0.0,1.0,0.0,1
873,3.0,14.0,13.0,25.0,0.34,148
875,1.0,3.0,2.0,10.0,0.17,14
876,1.0,2.0,2.0,1.0,0.67,11
883,2.0,15.0,14.0,16.0,0.47,94
888,2.0,8.0,8.0,4.0,0.67,91
890,3.0,8.0,8.0,8.0,0.5,235
893,1.0,4.0,3.0,5.0,0.38,266
899,4.0,23.0,23.0,26.0,0.47,605
902,1.0,9.0,10.0,7.0,0.59,1412
903,2.0,9.0,9.0,6.0,0.6,587
906,1.0,4.0,4.0,0.0,1.0,25
908,1.0,2.0,2.0,10.0,0.17,8
909,2.0,23.0,24.0,16.0,0.6,213
910,1.0,2.0,2.0,1.0,0.67,397
911,3.0,38.0,44.0,13.0,0.77,447
915,3.0,35.0,35.0,16.0,0.69,335
919,1.0,1.0,1.0,0.0,1.0,11
921,1.0,2.0,2.0,2.0,0.5,122
922,2.0,4.0,4.0,2.0,0.67,60
927,3.0,19.0,19.0,4.0,0.83,231
928,1.0,2.0,2.0,0.0,1.0,99
931,3.0,15.0,15.0,14.0,0.52,444
934,3.0,9.0,9.0,19.0,0.32,69
938,1.0,2.0,2.0,6.0,0.25,3
939,1.0,2.0,2.0,0.0,1.0,27
940,4.0,23.0,22.0,19.0,0.54,253
942,1.0,7.0,7.0,5.0,0.58,46
944,4.0,15.0,16.0,17.0,0.48,75
947,1.0,2.0,2.0,0.0,1.0,10
948,1.0,2.0,2.0,0.0,1.0,13
949,1.0,1.0,1.0,0.0,1.0,2
954,2.0,8.0,8.0,11.0,0.42,559
956,1.0,2.0,2.0,0.0,1.0,406
963,2.0,27.0,25.0,55.0,0.31,305
968,2.0,17.0,16.0,25.0,0.39,157
969,1.0,7.0,7.0,2.0,0.78,176
975,1.0,4.0,3.0,2.0,0.6,74
978,2.0,15.0,13.0,52.0,0.2,116
981,1.0,2.0,2.0,2.0,0.5,295
983,2.0,16.0,16.0,23.0,0.41,50
984,1.0,2.0,2.0,3.0,0.4,2
985,1.0,8.0,8.0,1.0,0.89,25
989,3.0,18.0,18.0,22.0,0.45,330
991,2.0,8.0,8.0,11.0,0.42,55
994,2.0,13.0,12.0,49.0,0.2,44
995,1.0,1.0,0.0,1.0,0.0,18
996,3.0,9.0,9.0,2.0,0.82,123
998,1.0,1.0,0.0,1.0,0.0,1
1000,3.0,22.0,31.0,8.0,0.79,129
1001,1.0,3.0,3.0,2.0,0.6,23
1009,1.0,2.0,2.0,0.0,1.0,36
1011,1.0,2.0,2.0,0.0,1.0,91
1013,1.0,4.0,4.0,0.0,1.0,258
1015,1.0,2.0,2.0,0.0,1.0,11
1020,2.0,4.0,3.0,3.0,0.5,158
1024,2.0,15.0,15.0,23.0,0.39,209
1026,2.0,7.0,7.0,11.0,0.39,420
1027,3.0,28.0,28.0,32.0,0.47,393
1028,4.0,20.0,20.0,9.0,0.69,478
1029,1.0,2.0,0.0,3.0,0.0,17
1031,2.0,7.0,7.0,3.0,0.7,40
1032,1.0,8.0,7.0,10.0,0.41,54
1033,2.0,13.0,13.0,4.0,0.76,84
1034,3.0,15.0,15.0,32.0,0.32,122
1036,1.0,2.0,2.0,1.0,0.67,9
1048,1.0,2.0,2.0,0.0,1.0,8
1058,3.0,13.0,16.0,39.0,0.29,773
1064,1.0,5.0,6.0,1.0,0.86,30
1065,1.0,2.0,2.0,0.0,1.0,12
1066,1.0,8.0,8.0,0.0,1.0,27
1067,4.0,18.0,17.0,23.0,0.42,586
1076,1.0,2.0,2.0,0.0,1.0,250
1077,1.0,2.0,2.0,0.0,1.0,8
1078,3.0,6.0,8.0,5.0,0.62,2467
1080,1.0,9.0,8.0,36.0,0.18,61
1081,1.0,2.0,2.0,0.0,1.0,9
1082,2.0,17.0,17.0,8.0,0.68,97
1088,4.0,16.0,15.0,27.0,0.36,373
1089,1.0,12.0,10.0,28.0,0.26,40
1091,2.0,7.0,7.0,7.0,0.5,140
1093,1.0,2.0,2.0,0.0,1.0,11
1096,1.0,2.0,2.0,0.0,1.0,32
1103,1.0,1.0,1.0,1.0,0.5,10
1104,1.0,2.0,2.0,1.0,0.67,65
1107,1.0,9.0,9.0,1.0,0.9,405
1110,1.0,2.0,2.0,0.0,1.0,13
1111,1.0,2.0,2.0,1.0,0.67,8
1112,2.0,9.0,9.0,15.0,0.38,40
1113,2.0,9.0,9.0,2.0,0.82,138
1122,1.0,7.0,7.0,7.0,0.5,38
1123,1.0,2.0,2.0,0.0,1.0,110
1126,1.0,9.0,8.0,15.0,0.35,53
1128,3.0,18.0,18.0,16.0,0.53,306
1130,2.0,15.0,10.0,15.0,0.4,239
1139,2.0,24.0,24.0,8.0,0.75,244
1140,1.0,2.0,2.0,0.0,1.0,23
1142,1.0,8.0,8.0,0.0,1.0,31
1144,1.0,8.0,8.0,4.0,0.67,39
1146,3.0,13.0,14.0,26.0,0.35,198
1148,1.0,2.0,2.0,0.0,1.0,424
1150,1.0,13.0,13.0,4.0,0.76,99
1151,3.0,36.0,37.0,26.0,0.59,433
1155,2.0,2.0,2.0,1.0,0.67,383
1160,1.0,1.0,0.0,1.0,0.0,1
1161,1.0,8.0,8.0,6.0,0.57,428
1162,2.0,6.0,8.0,10.0,0.44,39
1163,2.0,28.0,28.0,65.0,0.3,180
1165,1.0,9.0,9.0,1.0,0.9,25
1167,2.0,23.0,23.0,20.0,0.53,138
1168,1.0,1.0,1.0,0.0,1.0,46
1169,1.0,3.0,3.0,0.0,1.0,74
1172,1.0,9.0,9.0,2.0,0.82,378
1174,1.0,2.0,2.0,0.0,1.0,55
1178,3.0,28.0,28.0,56.0,0.33,1055
1179,1.0,1.0,1.0,0.0,1.0,16
1183,1.0,2.0,2.0,2.0,0.5,71
1185,1.0,2.0,2.0,0.0,1.0,13
1186,1.0,2.0,2.0,0.0,1.0,16
1188,4.0,16.0,15.0,47.0,0.24,368
1189,2.0,14.0,13.0,6.0,0.68,459
1190,1.0,2.0,2.0,0.0,1.0,116
1193,1.0,5.0,5.0,1.0,0.83,103
1194,1.0,2.0,1.0,5.0,0.17,17
1196,1.0,2.0,2.0,0.0,1.0,23
1199,3.0,6.0,6.0,14.0,0.3,319
1206,1.0,1.0,1.0,0.0,1.0,10
1207,3.0,8.0,8.0,18.0,0.31,177
1208,1.0,19.0,20.0,13.0,0.61,102
1210,1.0,2.0,2.0,0.0,1.0,424
1213,1.0,2.0,2.0,0.0,1.0,9
1215,2.0,10.0,10.0,12.0,0.45,501
1218,3.0,12.0,15.0,9.0,0.62,626
1221,1.0,2.0,2.0,1.0,0.67,104
1222,1.0,2.0,2.0,0.0,1.0,112
1224,1.0,7.0,7.0,8.0,0.47,281
1227,1.0,2.0,3.0,1.0,0.75,36
1234,1.0,2.0,2.0,0.0,1.0,37
1235,2.0,9.0,8.0,12.0,0.4,86
1236,2.0,9.0,9.0,4.0,0.69,37
1239,2.0,7.0,8.0,1.0,0.89,186
1248,1.0,2.0,2.0,0.0,1.0,392
1249,1.0,2.0,2.0,1.0,0.67,84
1260,1.0,2.0,2.0,0.0,1.0,31
1261,4.0,19.0,19.0,11.0,0.63,132
1264,1.0,9.0,9.0,10.0,0.47,298
1270,1.0,15.0,14.0,19.0,0.42,151
1272,1.0,9.0,8.0,1.0,0.89,118
1277,1.0,2.0,2.0,0.0,1.0,100
1278,1.0,8.0,8.0,4.0,0.67,172
1281,1.0,3.0,3.0,0.0,1.0,16
1282,1.0,2.0,2.0,0.0,1.0,15
1284,2.0,23.0,23.0,12.0,0.66,129
1295,1.0,2.0,1.0,4.0,0.2,27
1297,1.0,8.0,8.0,0.0,1.0,286
1300,1.0,9.0,9.0,13.0,0.41,44
1305,3.0,24.0,24.0,12.0,0.67,106
1310,1.0,1.0,1.0,0.0,1.0,34
1312,3.0,12.0,12.0,36.0,0.25,443
1315,1.0,2.0,2.0,0.0,1.0,78
1316,3.0,28.0,23.0,57.0,0.29,448
1318,2.0,52.0,52.0,19.0,0.73,311
1321,1.0,1.0,0.0,2.0,0.0,3
1324,1.0,2.0,2.0,0.0,1.0,69
1326,1.0,2.0,3.0,1.0,0.75,10
1327,2.0,12.0,12.0,4.0,0.75,144
1328,3.0,23.0,23.0,3.0,0.88,97
1329,2.0,34.0,34.0,16.0,0.68,266
1330,2.0,9.0,9.0,3.0,0.75,28
1331,1.0,2.0,2.0,0.0,1.0,22
1337,1.0,2.0,2.0,1.0,0.67,12
1342,2.0,20.0,19.0,10.0,0.66,176
1343,1.0,2.0,2.0,0.0,1.0,106
1344,1.0,1.0,1.0,0.0,1.0,32
1355,1.0,10.0,10.0,10.0,0.5,87
1361,1.0,62.0,60.0,118.0,0.34,359
1363,1.0,3.0,2.0,1.0,0.67,35
1376,1.0,2.0,2.0,1.0,0.67,7
1382,2.0,4.0,4.0,1.0,0.8,49
1386,1.0,2.0,2.0,3.0,0.4,24
1389,1.0,2.0,2.0,1.0,0.67,10
1391,1.0,2.0,2.0,0.0,1.0,85
1393,1.0,2.0,2.0,0.0,1.0,26
1396,1.0,4.0,4.0,3.0,0.57,21
1398,2.0,6.0,6.0,0.0,1.0,34
1401,3.0,8.0,8.0,15.0,0.35,125
1404,1.0,3.0,2.0,1.0,0.67,221
1406,1.0,8.0,8.0,9.0,0.47,41
1408,1.0,8.0,8.0,7.0,0.53,83
1409,3.0,18.0,18.0,74.0,0.2,392
1415,1.0,5.0,6.0,2.0,0.75,66
1422,1.0,2.0,2.0,0.0,1.0,20
1424,1.0,1.0,0.0,1.0,0.0,1
1430,1.0,2.0,2.0,0.0,1.0,22
1433,3.0,6.0,6.0,10.0,0.38,136
1447,2.0,13.0,13.0,1.0,0.93,244
1448,1.0,2.0,2.0,4.0,0.33,18
1451,1.0,2.0,2.0,0.0,1.0,63
1456,1.0,2.0,2.0,2.0,0.5,102
1467,4.0,16.0,15.0,14.0,0.52,319
1468,2.0,17.0,20.0,95.0,0.17,1314
1470,1.0,2.0,3.0,1.0,0.75,10
1473,1.0,2.0,2.0,0.0,1.0,294
1474,1.0,5.0,5.0,12.0,0.29,21
1475,1.0,2.0,2.0,0.0,1.0,13
1479,1.0,2.0,2.0,0.0,1.0,8
1481,1.0,1.0,1.0,0.0,1.0,51
1483,1.0,1.0,1.0,0.0,1.0,2
1484,1.0,2.0,2.0,0.0,1.0,17
1487,1.0,2.0,2.0,0.0,1.0,14
1493,1.0,2.0,2.0,0.0,1.0,36
1495,2.0,6.0,5.0,11.0,0.31,70
1496,1.0,2.0,2.0,0.0,1.0,13
1497,1.0,2.0,2.0,0.0,1.0,35
1498,2.0,33.0,33.0,48.0,0.41,266
1499,1.0,1.0,0.0,3.0,0.0,8
1503,2.0,9.0,9.0,3.0,0.75,76
1509,1.0,3.0,3.0,0.0,1.0,27
1511,1.0,3.0,4.0,3.0,0.57,145
1513,2.0,28.0,28.0,75.0,0.27,180
1516,1.0,8.0,8.0,2.0,0.8,215
1517,1.0,5.0,5.0,2.0,0.71,19
1518,3.0,17.0,17.0,27.0,0.39,433
1519,1.0,2.0,2.0,0.0,1.0,44
1531,1.0,2.0,2.0,0.0,1.0,94
1533,2.0,9.0,9.0,2.0,0.82,197
1534,1.0,12.0,12.0,3.0,0.8,282
1535,1.0,2.0,2.0,0.0,1.0,24
1538,1.0,9.0,9.0,10.0,0.47,38
1542,1.0,2.0,2.0,1.0,0.67,9
1546,1.0,8.0,8.0,1.0,0.89,304
1547,4.0,35.0,35.0,13.0,0.73,495
1552,1.0,2.0,2.0,0.0,1.0,15
1557,4.0,33.0,31.0,69.0,0.31,427
1558,1.0,2.0,2.0,0.0,1.0,11
1560,1.0,1.0,1.0,0.0,1.0,31
1561,3.0,32.0,31.0,38.0,0.45,446
1562,3.0,17.0,16.0,92.0,0.15,660
1568,1.0,2.0,2.0,2.0,0.5,69
1569,2.0,9.0,9.0,22.0,0.29,185
1573,1.0,1.0,0.0,2.0,0.0,16
1575,3.0,5.0,5.0,2.0,0.71,97
1576,4.0,29.0,29.0,15.0,0.66,168
1579,1.0,8.0,8.0,1.0,0.89,425
1583,1.0,4.0,3.0,10.0,0.23,20
1588,1.0,2.0,2.0,1.0,0.67,15
1591,1.0,5.0,5.0,0.0,1.0,26
1594,1.0,45.0,45.0,4.0,0.92,134
1601,3.0,29.0,25.0,67.0,0.27,771
1602,1.0,8.0,8.0,5.0,0.62,164
1604,3.0,28.0,30.0,5.0,0.86,314
1606,2.0,13.0,13.0,12.0,0.52,181
1614,4.0,24.0,24.0,23.0,0.51,890
1618,1.0,2.0,2.0,0.0,1.0,481
1622,3.0,9.0,7.0,20.0,0.26,354
1625,1.0,3.0,3.0,0.0,1.0,17
1628,2.0,5.0,5.0,0.0,1.0,50
1629,2.0,8.0,8.0,2.0,0.8,69
1632,1.0,2.0,2.0,0.0,1.0,9
1633,2.0,29.0,29.0,23.0,0.56,257
1635,1.0,2.0,2.0,2.0,0.5,13
1643,1.0,1.0,1.0,0.0,1.0,15
1645,1.0,9.0,9.0,7.0,0.56,253
1649,3.0,21.0,21.0,51.0,0.29,807
1653,1.0,2.0,2.0,0.0,1.0,9
1661,1.0,2.0,2.0,0.0,1.0,19
1669,1.0,2.0,2.0,0.0,1.0,9
1670,3.0,19.0,20.0,4.0,0.83,149
1672,1.0,8.0,8.0,1.0,0.89,24
1675,1.0,1.0,1.0,0.0,1.0,161
1676,2.0,6.0,7.0,20.0,0.26,140
1679,1.0,2.0,2.0,1.0,0.67,62
1683,1.0,3.0,3.0,6.0,0.33,13
1688,1.0,2.0,2.0,0.0,1.0,11
1691,1.0,3.0,4.0,8.0,0.33,27
